t,L_1,L_2,L_3
4103.455175161362,17.5,16.67,17.5
4104.457380771637,17.5,17.5,17.5
4105.459376811981,17.5,17.5,17.5
4106.461845159531,17.5,17.5,17.5
4107.464430809021,17.5,17.5,17.5
4108.466751337051,16.67,17.08,17.08
4109.469223499298,16.67,17.08,17.08
4110.471097707748,16.67,17.08,17.08
4111.473145723343,16.67,17.08,17.08
4112.474945306778,16.67,17.08,17.08
4113.477143526077,16.67,17.08,17.08
4114.477931499481,16.67,17.08,17.08
4115.480685472488,16.67,17.08,17.08
4116.481648683548,16.67,17.08,17.08
4117.483505010605,16.67,17.08,17.08
4118.484810352325,16.67,17.08,17.08
4119.487612962723,16.67,17.08,17.08
4120.488302946091,16.67,17.08,17.08
4121.490741014481,17.5,17.5,17.5
4122.491383314133,16.67,17.08,17.08
4123.4945204257965,17.5,16.67,17.5
4124.494744539261,17.5,17.5,17.5
4125.497347831726,17.5,17.5,17.5
4126.499208688736,17.5,17.5,17.5
4127.501494169235,17.5,16.67,17.5
4128.502792835236,17.5,17.5,17.5
4129.5044901371,17.5,16.67,17.5
4130.5062935352325,17.5,16.67,17.5
4131.508366107941,17.5,16.67,17.5
4132.509419202805,17.5,17.5,17.5
4133.511582374573,17.5,16.67,17.5
4134.512881994247,17.5,16.67,17.5
4135.514357328415,17.5,16.67,17.5
4136.516371488571,17.5,16.67,17.5
4137.518566131592,17.5,16.67,17.5
4138.519923686981,17.5,16.67,17.5
4139.521478891373,17.5,16.67,17.5
4140.523889064789,17.5,16.67,17.5
4141.526080131531,17.5,16.67,17.5
4142.528376340866,17.5,16.67,17.5
4143.530245304108,17.5,16.67,17.5
4144.532985210419,17.5,16.67,17.5
4145.535399913788,17.5,16.67,17.5
4146.537705183029,17.5,16.67,17.5
4147.539520263672,17.5,16.67,17.5
4148.542149782181,17.5,16.67,17.5
4149.544131278992,17.5,16.67,17.5
4150.546735048294,17.92,16.67,17.92
4151.548772096634,17.92,16.67,17.92
4152.551227807999,17.92,17.08,17.92
4153.551794052124,17.92,17.08,17.92
4154.55398440361,17.92,17.08,17.92
4155.556011676788,17.92,17.08,17.92
4156.558055877686,16.67,17.08,17.92
4157.558630466461,16.67,17.08,17.92
4158.56071639061,16.67,17.08,17.92
4159.562438726425,16.67,17.08,17.92
4160.564311027527,18.33,18.33,18.33
4161.565564393997,18.33,18.33,18.33
4162.568330526352,18.33,18.33,18.33
4163.569077253342,18.33,18.33,18.33
4164.571898460388,18.33,18.33,18.33
4165.573044061661,18.33,18.33,18.33
4166.575364112854,18.33,18.33,18.33
4167.576667547226,18.75,18.33,18.75
4168.578438043594,18.75,18.75,18.75
4169.5798416137695,18.75,18.75,18.75
4170.58190703392,18.75,18.75,18.75
4171.583457946777,18.33,18.75,18.75
4172.585209846497,18.33,18.75,18.75
4173.58654665947,18.33,18.75,18.75
4174.589037895203,19.17,19.17,19.17
4175.58967256546,19.17,13.33,19.17
4176.592541217804,19.17,13.33,19.17
4177.593541622162,19.17,13.33,19.17
4178.595915079117,19.17,13.33,19.17
4179.596506118774,19.58,13.75,19.58
4180.599504709244,19.58,13.75,19.58
4181.601353406906,13.33,13.75,19.58
4182.603454351425,13.33,13.75,19.58
4183.606113195419,13.33,13.75,19.58
4184.608271360397,20.0,20.0,20.0
4185.61060500145,20.0,20.0,20.0
4186.612950086594,20.0,20.0,20.0
4187.614755868912,20.0,20.0,20.0
4188.617002487183,20.0,20.42,20.42
4189.619591712952,20.0,20.42,20.42
4190.62157702446,20.83,20.0,20.83
4191.623707532883,20.83,20.0,20.83
4192.625754356384,20.83,20.0,20.83
4193.628448724747,20.0,20.42,21.25
4194.629784345627,20.0,20.42,21.25
4195.632195472717,20.42,20.83,21.25
4196.633339643478,21.67,21.67,21.67
4197.635714054108,21.67,21.67,21.67
4198.63653588295,21.67,22.08,22.08
4199.6385846138,21.67,22.08,22.08
4200.639919757843,22.08,20.0,22.08
4201.642737388611,22.5,20.0,22.5
4202.6439616680145,22.5,20.0,22.5
4203.645856142044,22.5,20.0,22.5
4204.647567510605,20.0,20.42,22.92
4205.648753166199,20.0,20.42,22.92
4206.650691509247,20.0,20.42,22.92
4207.6531319618225,20.0,20.83,22.92
4208.654314994812,23.33,23.33,23.33
4209.655752182007,23.33,23.33,23.33
4210.6570880413055,23.33,23.33,23.33
4211.659557104111,23.33,23.33,23.33
4212.661070346832,23.33,23.33,23.33
4213.662774801254,23.33,23.33,23.33
4214.664661884308,23.33,23.33,23.33
4215.666708946228,23.33,23.33,23.33
4216.667286396027,23.33,23.33,23.33
4217.669746637344,23.33,23.33,23.33
4218.67135643959,23.33,23.33,23.33
4219.673690319061,23.33,23.33,23.33
4220.674220561981,23.33,23.33,23.33
4221.677532911301,23.33,23.33,23.33
4222.678990840912,23.33,23.33,23.33
4223.681190490723,23.33,23.33,23.33
4224.683578968048,23.33,23.33,23.33
4225.6862616539,20.0,20.42,22.92
4226.688207387924,20.0,20.42,22.92
4227.690739870071,20.0,20.42,22.92
4228.69273853302,22.92,20.42,22.92
4229.694686412811,22.92,20.42,22.92
4230.69699382782,22.92,20.42,22.92
4231.699124097824,22.92,20.42,22.92
4232.701776504517,22.5,20.0,22.5
4233.703484296799,22.5,20.0,22.5
4234.705749511719,22.5,20.0,22.5
4235.707435131073,22.5,20.0,22.5
4236.709042072296,22.5,20.0,22.5
4237.7106120586395,22.5,20.0,22.5
4238.712754011154,22.5,20.0,22.5
4239.713933706284,22.5,20.0,22.5
4240.716303110123,21.67,22.08,22.08
4241.717344284058,21.67,22.08,22.08
4242.719983100891,21.67,22.08,22.08
4243.721081972122,22.08,22.08,22.08
4244.723071575165,22.08,22.08,22.08
4245.724138498306,22.08,22.08,22.08
4246.726723909378,22.08,22.08,22.08
4247.72841501236,22.08,21.67,22.08
4248.730379104614,21.67,21.67,21.67
4249.731706380844,21.67,21.67,21.67
4250.734216928482,21.67,21.67,21.67
4251.734520196915,21.67,21.67,21.67
4252.737758398056,21.67,21.67,21.67
4253.738572835922,21.67,21.67,21.67
4254.740809440613,21.67,21.67,21.67
4255.74209523201,21.67,21.67,21.67
4256.744332313538,20.0,20.42,21.25
4257.745273351669,21.25,20.42,21.25
4258.747449636459,21.25,20.42,21.25
4259.749235391617,21.25,20.42,21.25
4260.7507128715515,21.25,20.42,21.25
4261.7525227069855,21.25,20.42,21.25
4262.75453209877,20.83,20.0,20.83
4263.756639719009,20.83,20.0,20.83
4264.758717060089,20.83,20.0,20.83
4265.761097192764,20.83,20.0,20.83
4266.763784170151,20.83,20.0,20.83
4267.765844345093,20.42,20.42,20.42
4268.767916917801,20.42,20.42,20.42
4269.770282506943,20.42,20.42,20.42
4270.772748947144,20.0,20.0,20.0
4271.774381399155,20.0,20.0,20.0
4272.7770121097565,20.0,20.0,20.0
4273.779230356216,20.0,20.0,20.0
4274.780976057053,13.33,13.75,19.58
4275.783706903458,19.58,13.75,19.58
4276.784677267075,19.58,13.75,19.58
4277.786804199219,19.58,13.75,19.58
4278.788222074509,19.58,13.75,19.58
4279.790492296219,19.17,13.33,19.17
4280.791873693466,19.17,13.33,19.17
4281.794095754623,19.17,13.33,19.17
4282.795258522034,19.17,19.17,19.17
4283.797806501389,18.33,18.75,18.75
4284.798602581024,18.33,18.75,18.75
4285.800653457642,18.33,18.75,18.75
4286.802319765091,18.75,18.75,18.75
4287.804804325104,18.75,18.75,18.75
4288.805230379105,18.75,18.75,18.75
4289.807871103287,18.75,18.75,18.75
4290.808713436127,18.75,18.33,18.75
4291.811080217361,18.33,18.33,18.33
4292.81268954277,18.33,18.33,18.33
4293.814248800278,18.33,18.33,18.33
4294.81650352478,18.33,18.33,18.33
4295.818466901779,18.33,18.33,18.33
4296.81963467598,18.33,18.33,18.33
4297.822251796722,18.33,18.33,18.33
4298.822779893875,18.33,18.33,18.33
4299.825091600418,18.33,18.33,18.33
4300.8264772892,18.33,18.33,18.33
4301.828806400299,16.67,17.08,17.92
4302.829827785492,16.67,17.08,17.92
4303.832453489304,16.67,17.08,17.92
4304.8347864151,16.67,17.08,17.92
4305.836395978928,17.92,17.08,17.92
4306.838618278503,17.92,17.08,17.92
4307.8407254219055,17.92,17.08,17.92
4308.84294629097,17.92,17.08,17.92
4309.845577001572,17.92,17.08,17.92
4310.847456216812,17.92,17.08,17.92
4311.849985361099,17.92,17.08,17.92
4312.852121353149,17.92,17.08,17.92
4313.854592323303,17.92,17.08,17.92
4314.856154918671,17.92,17.08,17.92
